! 12C range in H2O
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	0.0762779 	0.001000	0.0762779 	0.001000	0.0781872 	0.001000	0.0781872 	0.001000	0.0781841 	0.001000	0         	0.001000	0         	0.001000	0.000882568	0.001000	0.00152537	0.001000	0.000834548	
0.002000	0.170637  	0.002000	0.152556  	0.002000	0.156374  	0.002000	0.156374  	0.002000	0.156368  	0.002000	0.00862945	0.002000	0.00862945	0.002000	0.00258447	0.002000	0.0043151 	0.002000	0.00256474	
0.005000	0.433714  	0.005000	0.365221  	0.005000	0.36693   	0.005000	0.36693   	0.005000	0.366919  	0.005000	0.0104569 	0.005000	0.0104569 	0.005000	0.00963518	0.005000	0.0154793 	0.005000	0.0100176 	
0.008000	0.667716  	0.008000	0.554383  	0.008000	0.546966  	0.008000	0.546966  	0.008000	0.546954  	0.008000	0.0105328 	0.008000	0.0105328 	0.008000	0.0178123 	0.008000	0.0281371 	0.008000	0.0188626 	
0.010000	0.810978  	0.010000	0.670193  	0.010000	0.654606  	0.010000	0.654606  	0.010000	0.654593  	0.010000	0.0107878 	0.010000	0.0107878 	0.010000	0.0234827 	0.010000	0.0368203 	0.010000	0.0250602 	
0.015000	1.13408   	0.015000	0.931382  	0.015000	0.893886  	0.015000	0.893886  	0.015000	0.893871  	0.015000	0.0120146 	0.015000	0.0120146 	0.015000	0.0379135 	0.015000	0.0587036 	0.015000	0.040976  	
0.020000	1.41104   	0.020000	1.15527   	0.020000	1.1024    	0.020000	1.1024    	0.020000	1.10239   	0.020000	0.0135217 	0.020000	0.0135217 	0.020000	0.0523335 	0.020000	0.0803613 	0.020000	0.0570191 	
0.025000	1.65218   	0.025000	1.3502    	0.025000	1.28651   	0.025000	1.28651   	0.025000	1.2865    	0.025000	0.0149286 	0.025000	0.0149286 	0.025000	0.0663297 	0.025000	0.101262  	0.025000	0.0726744 	
0.030000	1.86638   	0.030000	1.52336   	0.030000	1.45259   	0.030000	1.45259   	0.030000	1.45258   	0.030000	0.0161747 	0.030000	0.0161747 	0.030000	0.079592  	0.030000	0.120867  	0.030000	0.0879261 	
0.035000	2.05972   	0.035000	1.67965   	0.035000	1.60528   	0.035000	1.60528   	0.035000	1.60527   	0.035000	0.0172788 	0.035000	0.0172788 	0.035000	0.0922564 	0.035000	0.139415  	0.035000	0.100989  	
