! 1H range in H2O
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	0.0545455 	0.001000	0.0545455 	0.001000	0.0423673 	0.001000	0.0423673 	0.001000	0.0423811 	0.001000	0         	0.001000	0         	0.001000	0.000348912	0.001000	0.000608743	0.001000	0.000307625	
0.002000	0.125222  	0.002000	0.109091  	0.002000	0.0847347 	0.002000	0.0847347 	0.002000	0.0847623 	0.002000	0.00692698	0.002000	0.00692698	0.002000	0.00102171	0.002000	0.00172194	0.002000	0.000951572	
0.005000	0.290775  	0.005000	0.23686   	0.005000	0.185737  	0.005000	0.185737  	0.005000	0.185778  	0.005000	0.0080294 	0.005000	0.0080294 	0.005000	0.00340327	0.005000	0.00556071	0.005000	0.00330872	
0.008000	0.423137  	0.008000	0.339012  	0.008000	0.268032  	0.008000	0.268032  	0.008000	0.268078  	0.008000	0.00806631	0.008000	0.00806631	0.008000	0.00598608	0.008000	0.00962957	0.008000	0.00593539	
0.010000	0.501124  	0.010000	0.3992    	0.010000	0.317035  	0.010000	0.317035  	0.010000	0.317083  	0.010000	0.00819074	0.010000	0.00819074	0.010000	0.0077537 	0.010000	0.0123831 	0.010000	0.00775554	
0.015000	0.671022  	0.015000	0.530321  	0.015000	0.426501  	0.015000	0.426501  	0.015000	0.426552  	0.015000	0.00881198	0.015000	0.00881198	0.015000	0.0122459 	0.015000	0.0193089 	0.015000	0.0124323 	
0.020000	0.816316  	0.020000	0.642454  	0.020000	0.523398  	0.020000	0.523398  	0.020000	0.523451  	0.020000	0.00963849	0.020000	0.00963849	0.020000	0.0167919 	0.020000	0.0262417 	0.020000	0.0172179 	
0.025000	0.945743  	0.025000	0.742341  	0.025000	0.611756  	0.025000	0.611756  	0.025000	0.61181   	0.025000	0.010505  	0.025000	0.010505  	0.025000	0.0213617 	0.025000	0.0331549 	0.025000	0.022067  	
0.030000	1.064     	0.030000	0.833607  	0.030000	0.694363  	0.030000	0.694363  	0.030000	0.694417  	0.030000	0.011365  	0.030000	0.011365  	0.030000	0.0259788 	0.030000	0.0400919 	0.030000	0.0269987 	
0.035000	1.17398   	0.035000	0.918484  	0.035000	0.77311   	0.035000	0.77311   	0.035000	0.773165  	0.035000	0.0122121 	0.035000	0.0122121 	0.035000	0.0306771 	0.035000	0.047107  	0.035000	0.0320468 	
0.040000	1.27761   	0.040000	0.998463  	0.040000	0.848862  	0.040000	0.848862  	0.040000	0.848917  	0.040000	0.0130377 	0.040000	0.0130377 	0.040000	0.0354572 	0.040000	0.054206  	0.040000	0.0372082 	
0.045000	1.37627   	0.045000	1.07461   	0.045000	0.922242  	0.045000	0.922242  	0.045000	0.922297  	0.045000	0.0138402 	0.045000	0.0138402 	0.045000	0.0403221 	0.045000	0.0613963 	0.045000	0.0424839 	
0.050000	1.47098   	0.050000	1.1477    	0.050000	0.993723  	0.050000	0.993723  	0.050000	0.993779  	0.050000	0.0146208 	0.050000	0.0151763 	0.050000	0.0452669 	0.050000	0.0686705 	0.050000	0.0478764 	
0.055000	1.56252   	0.055000	1.21835   	0.055000	1.06367   	0.055000	1.06367   	0.055000	1.06373   	0.055000	0.0153821 	0.055000	0.0166785 	0.055000	0.0502194 	0.055000	0.0759003 	0.055000	0.0533893 	
0.060000	1.65152   	0.060000	1.28704   	0.060000	1.13239   	0.060000	1.13239   	0.060000	1.13244   	0.060000	0.016127  	0.060000	0.0180419 	0.060000	0.0552016 	0.060000	0.0831256 	0.060000	0.0590267 	
0.070000	1.82381   	0.070000	1.42      	0.070000	1.26703   	0.070000	1.26703   	0.070000	1.26709   	0.070000	0.0175787 	0.070000	0.0204822 	0.070000	0.0653182 	0.070000	0.0976729 	0.070000	0.069113  	
0.080000	1.99092   	0.080000	1.54897   	0.080000	1.39915   	0.080000	1.39915   	0.080000	1.39921   	0.080000	0.0189966 	0.080000	0.0226693 	0.080000	0.0757181 	0.080000	0.112486  	0.080000	0.0777079 	
0.090000	2.15504   	0.090000	1.67563   	0.090000	1.52982   	0.090000	1.52982   	0.090000	1.52988   	0.090000	0.0203976 	0.090000	0.0246956 	0.090000	0.0860093 	0.090000	0.127034  	0.090000	0.0853497 	
0.100000	2.3178    	0.100000	1.80125   	0.100000	1.65986   	0.100000	1.65986   	0.100000	1.65992   	0.100000	0.0217956 	0.100000	0.0266177 	0.100000	0.0952015 	0.100000	0.139968  	0.100000	0.0923845 	
0.120000	2.64391   	0.120000	2.05293   	0.120000	1.92045   	0.120000	1.92045   	0.120000	1.9205    	0.120000	0.0246256 	0.120000	0.0302882 	0.120000	0.111326  	0.120000	0.162494  	0.120000	0.105102  	
0.140000	2.97622   	0.140000	2.30939   	0.140000	2.18464   	0.140000	2.18464   	0.140000	2.18469   	0.140000	0.0275555 	0.140000	0.0338699 	0.140000	0.125752  	0.140000	0.182461  	0.140000	0.116839  	
0.160000	3.31903   	0.160000	2.57396   	0.160000	2.45493   	0.160000	2.45493   	0.160000	2.45499   	0.160000	0.0306342 	0.160000	0.0374594 	0.160000	0.139167  	0.160000	0.200865  	0.160000	0.128038  	
0.180000	3.67505   	0.180000	2.84873   	0.180000	2.73312   	0.180000	2.73312   	0.180000	2.73318   	0.180000	0.0338977 	0.180000	0.0411174 	0.180000	0.152069  	0.180000	0.218422  	0.180000	0.138821  	
0.200000	4.04596   	0.200000	3.13499   	0.200000	3.02052   	0.200000	3.02052   	0.200000	3.02057   	0.200000	0.0373731 	0.200000	0.0448896 	0.200000	0.164644  	0.200000	0.235404  	0.200000	0.14953   	
0.250000	5.04401   	0.250000	3.90524   	0.250000	3.78514   	0.250000	3.78514   	0.250000	3.7852    	0.250000	0.0471143 	0.250000	0.0550062 	0.250000	0.19577   	0.250000	0.276943  	0.250000	0.176291  	
0.300000	6.14689   	0.300000	4.75641   	0.300000	4.62283   	0.300000	4.62283   	0.300000	4.62289   	0.300000	0.0585078 	0.300000	0.0663013 	0.300000	0.227414  	0.300000	0.318539  	0.300000	0.20394   	
0.350000	7.35431   	0.350000	5.68826   	0.350000	5.53862   	0.350000	5.53862   	0.350000	5.53868   	0.350000	0.0716477 	0.350000	0.078886  	0.350000	0.260264  	0.350000	0.36116   	0.350000	0.232897  	
0.400000	8.66373   	0.400000	6.69883   	0.400000	6.53476   	0.400000	6.53476   	0.400000	6.53482   	0.400000	0.086556  	0.400000	0.0927784 	0.400000	0.294709  	0.400000	0.405348  	0.400000	0.263476  	
0.450000	10.0721   	0.450000	7.78579   	0.450000	7.61176   	0.450000	7.61176   	0.450000	7.61182   	0.450000	0.103211  	0.450000	0.107947  	0.450000	0.330922  	0.450000	0.451338  	0.450000	0.295898  	
0.500000	11.5767   	0.500000	8.94694   	0.500000	8.76914   	0.500000	8.76914   	0.500000	8.7692    	0.500000	0.121568  	0.500000	0.124775  	0.500000	0.369016  	0.500000	0.499285  	0.500000	0.330079  	
0.600000	14.8643   	0.600000	11.4842   	0.600000	11.3203   	0.600000	11.3203   	0.600000	11.3204   	0.600000	0.163148  	0.600000	0.164034  	0.600000	0.450831  	0.600000	0.601024  	0.600000	0.404101  	
0.700000	18.5105   	0.700000	14.2982   	0.700000	14.1766   	0.700000	14.1766   	0.700000	14.1767   	0.700000	0.210815  	0.700000	0.209155  	0.700000	0.54024   	0.700000	0.710717  	0.700000	0.485468  	
0.800000	22.5031   	0.800000	17.3796   	0.800000	17.3256   	0.800000	17.3256   	0.800000	17.3257   	0.800000	0.264137  	0.800000	0.258916  	0.800000	0.637056  	0.800000	0.828131  	0.800000	0.573994  	
0.900000	26.8333   	0.900000	20.7215   	0.900000	20.7557   	0.900000	20.7557   	0.900000	20.7557   	0.900000	0.322766  	0.900000	0.312577  	0.900000	0.740868  	0.900000	0.952727  	0.900000	0.66938   	
